,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
2680,AMZN.O,Blackburn Jeffrey M,,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1884.98,-100,2018-08-15
2681,AMZN.O,Blackburn Jeffrey M,Officer,-4,Open market or private sale of non-derivative or derivative security,Open Market Sale,1874.0,-4,2018-08-15
2682,AMZN.O,Blackburn Jeffrey M,Officer,-150,Open market or private sale of non-derivative or derivative security,Open Market Sale,1873.44,-150,2018-08-15
2683,AMZN.O,Jassy (Andrew R),Officer,2441,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,2441,2018-08-15
2684,AMZN.O,Jassy (Andrew R),Officer,1667,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1667,2018-08-15
2685,AMZN.O,Jassy (Andrew R),Officer,-596,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-596,2018-08-15
2686,AMZN.O,Jassy (Andrew R),Officer,-3512,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-3512,2018-08-15
2687,AMZN.O,Jassy (Andrew R),Officer,596,Bona fide gift,Gift,0.0,596,2018-08-15
2688,AMZN.O,Blackburn Jeffrey M,Officer,3512,Bona fide gift,Gift,0.0,3512,2018-08-15
2689,AMZN.O,Blackburn Jeffrey M,Officer,-596,Bona fide gift,Gift,0.0,-596,2018-08-15
2690,AMZN.O,Blackburn Jeffrey M,Officer,-3512,Bona fide gift,Gift,0.0,-3512,2018-08-15
2691,AMZN.O,Blackburn Jeffrey M,Officer,596,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,596,2018-08-15
2692,AMZN.O,Blackburn Jeffrey M,Officer,3512,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,3512,2018-08-15
2693,AMZN.O,Blackburn Jeffrey M,Officer,-16,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-16,2018-08-15
2694,AMZN.O,Blackburn Jeffrey M,Officer,-419,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-419,2018-08-15
2695,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1906.48,-100,2018-08-15
2696,AMZN.O,Blackburn Jeffrey M,Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1905.45,-200,2018-08-15
2697,AMZN.O,Blackburn Jeffrey M,Officer,-135,Open market or private sale of non-derivative or derivative security,Open Market Sale,1872.41,-135,2018-08-15
2698,AMZN.O,Blackburn Jeffrey M,Officer,16,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,16,2018-08-15
2699,AMZN.O,Blackburn Jeffrey M,Officer,419,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,419,2018-08-15
2700,AMZN.O,Blackburn Jeffrey M,Officer,-3156,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-3156,2018-08-15
2701,AMZN.O,Olsavsky (Brian T.),,-952,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-952,2018-08-15
2702,AMZN.O,Olsavsky (Brian T.),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1913.67,-100,2018-08-15
2703,AMZN.O,Olsavsky (Brian T.),,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1909.37,-200,2018-08-15
2704,AMZN.O,Olsavsky (Brian T.),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1906.87,-200,2018-08-15
2705,AMZN.O,Olsavsky (Brian T.),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,1905.78,-300,2018-08-15
2706,AMZN.O,Olsavsky (Brian T.),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1903.74,-100,2018-08-15
2707,AMZN.O,Olsavsky (Brian T.),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1902.95,-200,2018-08-15
2708,AMZN.O,Reynolds (Shelley L),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1898.02,-100,2018-08-15
2709,AMZN.O,Reynolds (Shelley L),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1893.62,-100,2018-08-15
2710,AMZN.O,Reynolds (Shelley L),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1891.73,-100,2018-08-15
2711,AMZN.O,Reynolds (Shelley L),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1889.95,-100,2018-08-15
2712,AMZN.O,Reynolds (Shelley L),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1886.96,-100,2018-08-15
2713,AMZN.O,Reynolds (Shelley L),Officer,-126,Open market or private sale of non-derivative or derivative security,Open Market Sale,1873.46,-126,2018-08-15
2714,AMZN.O,Reynolds (Shelley L),Officer,3156,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,3156,2018-08-15
2715,AMZN.O,Wilke (Jeffrey A),,952,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,952,2018-08-15
2716,AMZN.O,Wilke (Jeffrey A),,-661,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-661,2018-08-15
2717,AMZN.O,Wilke (Jeffrey A),Officer,-1367,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1367,2018-08-15
2718,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1914.71,-100,2018-08-15
2719,AMZN.O,Wilke (Jeffrey A),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1909.33,-200,2018-08-15
2720,AMZN.O,Wilke (Jeffrey A),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1908.16,-200,2018-08-15
2721,AMZN.O,Wilke (Jeffrey A),Officer,-182,Open market or private sale of non-derivative or derivative security,Open Market Sale,1907.2,-182,2018-08-15
2722,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1905.36,-100,2018-08-15
2723,AMZN.O,Zapolsky David,,-231,Open market or private sale of non-derivative or derivative security,Open Market Sale,1903.45,-231,2018-08-15
2724,AMZN.O,Zapolsky David,,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1901.78,-200,2018-08-15
2725,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1899.06,-100,2018-08-15
2726,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1894.15,-100,2018-08-15
2727,AMZN.O,Zapolsky David,Officer,-155,Open market or private sale of non-derivative or derivative security,Open Market Sale,1893.09,-155,2018-08-15
2728,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1891.91,-100,2018-08-15
2729,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1887.58,-100,2018-08-15
2730,AMZN.O,Zapolsky David,Officer,-159,Open market or private sale of non-derivative or derivative security,Open Market Sale,1873.32,-159,2018-08-15
2731,AMZN.O,Zapolsky David,Officer,661,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,661,2018-08-15
2732,AMZN.O,Zapolsky David,Officer,1367,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1367,2018-08-15
2733,AMZN.O,Zapolsky David,Officer,-304,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-304,2018-08-15
2734,AMZN.O,Zapolsky David,Officer,304,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,304,2018-08-15
2735,AMZN.O,Zapolsky David,Officer,-130,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-130,2018-08-15
2736,AMZN.O,Zapolsky David,Officer,-1117,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1117,2018-08-15
2737,AMZN.O,Zapolsky David,Officer,-781,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-781,2018-08-15
2738,AMZN.O,Zapolsky David,Officer,-2028,Open market or private sale of non-derivative or derivative security,Open Market Sale,1909.55,-2028,2018-08-15
2739,AMZN.O,Zapolsky David,Officer,130,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,130,2018-08-15
2740,AMZN.O,Mcgrath Judith A,,1117,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1117,2018-08-15
2741,AMZN.O,Mcgrath Judith A,Director,781,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,781,2018-08-15
2742,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-53,Bona fide gift,Gift,0.0,-53,2018-08-14
2743,AMZN.O,Ryder (Thomas O),Director,,,,,,2018-08-13
2744,AMZN.O,Alberg (Thomas Austin),Director,-2320,Open market or private sale of non-derivative or derivative security,Open Market Sale,1827.29,-2320,2018-08-06
2745,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-160,Bona fide gift,Gift,0.0,-160,2018-08-03
2746,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5522,Bona fide gift,Gift,0.0,-5522,2018-08-02
2747,AMZN.O,Stonesifer (Patricia Q),Director,-1375,Open market or private sale of non-derivative or derivative security,Open Market Sale,1788.0,-1375,2018-08-02
2748,AMZN.O,Stonesifer (Patricia Q),Director,-250,Bona fide gift,Gift,0.0,-250,2018-08-02
2749,AMZN.O,Ryder (Thomas O),Director,-3300,Open market or private sale of non-derivative or derivative security,Open Market Sale,1782.19,-3300,2018-08-01
2750,AMZN.O,Ryder (Thomas O),Director,-1700,Open market or private sale of non-derivative or derivative security,Open Market Sale,1786.96,-1700,2018-08-01
2751,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2018-07-27
2752,AMZN.O,Jeffrey & Liesl Wilke Revocable Trust,Trustee,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1577.54,-100,2018-05-21
2753,AMZN.O,Wilke (Jeffrey A),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1578.86,-200,2018-05-21
2754,AMZN.O,Wilke (Jeffrey A),Officer,-130,Open market or private sale of non-derivative or derivative security,Open Market Sale,1581.4,-130,2018-05-21
2755,AMZN.O,Wilke (Jeffrey A),Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,1582.28,-400,2018-05-21
2756,AMZN.O,Wilke (Jeffrey A),Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,1584.94,-400,2018-05-21
2757,AMZN.O,Wilke (Jeffrey A),Officer,,,,,,2018-05-21
2758,AMZN.O,Reynolds (Shelley L),Affiliated Person,,,,,,2018-05-18
2759,AMZN.O,Blackburn Jeffrey M,Affiliated Person,-145,Open market or private sale of non-derivative or derivative security,Open Market Sale,1572.35,-145,2018-05-18
2760,AMZN.O,Jassy (Andrew R),Affiliated Person,-98,Open market or private sale of non-derivative or derivative security,Open Market Sale,1574.46,-98,2018-05-18
2761,AMZN.O,Zapolsky David,Affiliated Person,-702,Open market or private sale of non-derivative or derivative security,Open Market Sale,1575.07,-702,2018-05-18
2762,AMZN.O,Wilke (Jeffrey A),Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,1576.8,-400,2018-05-18
2763,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1578.19,-100,2018-05-18
2764,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1579.22,-100,2018-05-18
2765,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1583.19,-100,2018-05-18
2766,AMZN.O,Wilke (Jeffrey A),Officer,,,,,,2018-05-18
2767,AMZN.O,Wilke (Jeffrey A),Officer,,,,,,2018-05-18
2768,AMZN.O,Wilke (Jeffrey A),Officer,,,,,,2018-05-18
2769,AMZN.O,Olsavsky (Brian T.),Unknown,,,,,,2018-05-16
2770,AMZN.O,Blackburn Jeffrey M,,-879,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-879,2018-05-15
2771,AMZN.O,Blackburn Jeffrey M,,879,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,879,2018-05-15
2772,AMZN.O,Blackburn Jeffrey M,Officer,-2441,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-2441,2018-05-15
2773,AMZN.O,Blackburn Jeffrey M,Officer,-1667,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1667,2018-05-15
2774,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1586.04,-100,2018-05-15
2775,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1579.2,-100,2018-05-15
2776,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1578.05,-100,2018-05-15
2777,AMZN.O,Blackburn Jeffrey M,Officer,-318,Open market or private sale of non-derivative or derivative security,Open Market Sale,1576.37,-318,2018-05-15
2778,AMZN.O,Blackburn Jeffrey M,Officer,-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,1574.62,-500,2018-05-15
2779,AMZN.O,Blackburn Jeffrey M,Officer,-434,Open market or private sale of non-derivative or derivative security,Open Market Sale,1572.82,-434,2018-05-15
2780,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1570.42,-100,2018-05-15
2781,AMZN.O,Blackburn Jeffrey M,Officer,-202,Open market or private sale of non-derivative or derivative security,Open Market Sale,1569.62,-202,2018-05-15
2782,AMZN.O,Blackburn Jeffrey M,Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1567.98,-200,2018-05-15
2783,AMZN.O,Jassy (Andrew R),,2441,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,2441,2018-05-15
2784,AMZN.O,Jassy (Andrew R),,1667,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1667,2018-05-15
2785,AMZN.O,Jassy (Andrew R),Officer,-596,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-596,2018-05-15
2786,AMZN.O,Jassy (Andrew R),Officer,-3512,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-3512,2018-05-15
2787,AMZN.O,Jassy (Andrew R),Officer,596,Bona fide gift,Gift,0.0,596,2018-05-15
2788,AMZN.O,Jassy (Andrew R),Officer,3512,Bona fide gift,Gift,0.0,3512,2018-05-15
2789,AMZN.O,Jassy (Andrew R),Officer,-596,Bona fide gift,Gift,0.0,-596,2018-05-15
2790,AMZN.O,Jassy (Andrew R),Officer,-3512,Bona fide gift,Gift,0.0,-3512,2018-05-15
2791,AMZN.O,Jassy (Andrew R),Officer,596,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,596,2018-05-15
2792,AMZN.O,Jassy (Andrew R),Officer,3512,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,3512,2018-05-15
2793,AMZN.O,Jassy (Andrew R),Officer,-16,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-16,2018-05-15
2794,AMZN.O,Jassy (Andrew R),Officer,-419,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-419,2018-05-15
2795,AMZN.O,Wilke (Jeffrey A),,-17,Open market or private sale of non-derivative or derivative security,Open Market Sale,1587.8,-17,2018-05-15
2796,AMZN.O,Wilke (Jeffrey A),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1586.04,-100,2018-05-15
2797,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1577.8,-100,2018-05-15
2798,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1574.73,-100,2018-05-15
2799,AMZN.O,Wilke (Jeffrey A),Officer,-118,Open market or private sale of non-derivative or derivative security,Open Market Sale,1572.79,-118,2018-05-15
2800,AMZN.O,Wilke (Jeffrey A),Officer,16,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,16,2018-05-15
2801,AMZN.O,Wilke (Jeffrey A),Officer,419,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,419,2018-05-15
2802,AMZN.O,Wilke (Jeffrey A),Officer,-3156,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-3156,2018-05-15
2803,AMZN.O,Olsavsky (Brian T.),,-952,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-952,2018-05-15
2804,AMZN.O,Olsavsky (Brian T.),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1586.04,-100,2018-05-15
2805,AMZN.O,Olsavsky (Brian T.),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1578.65,-100,2018-05-15
2806,AMZN.O,Olsavsky (Brian T.),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1577.04,-200,2018-05-15
2807,AMZN.O,Olsavsky (Brian T.),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1576.27,-200,2018-05-15
2808,AMZN.O,Olsavsky (Brian T.),Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,1574.59,-400,2018-05-15
2809,AMZN.O,Olsavsky (Brian T.),Officer,-326,Open market or private sale of non-derivative or derivative security,Open Market Sale,1572.64,-326,2018-05-15
2810,AMZN.O,Zapolsky David,,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1570.14,-200,2018-05-15
2811,AMZN.O,Zapolsky David,,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1568.12,-200,2018-05-15
2812,AMZN.O,Zapolsky David,Officer,3156,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,3156,2018-05-15
2813,AMZN.O,Zapolsky David,Officer,952,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,952,2018-05-15
2814,AMZN.O,Zapolsky David,Officer,-661,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-661,2018-05-15
2815,AMZN.O,Zapolsky David,Officer,-1367,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1367,2018-05-15
2816,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1586.04,-100,2018-05-15
2817,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1579.2,-100,2018-05-15
2818,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1577.75,-100,2018-05-15
2819,AMZN.O,Zapolsky David,Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,1575.93,-300,2018-05-15
2820,AMZN.O,Zapolsky David,Officer,-299,Open market or private sale of non-derivative or derivative security,Open Market Sale,1575.0,-299,2018-05-15
2821,AMZN.O,Zapolsky David,Officer,-309,Open market or private sale of non-derivative or derivative security,Open Market Sale,1574.03,-309,2018-05-15
2822,AMZN.O,Zapolsky David,Officer,-299,Open market or private sale of non-derivative or derivative security,Open Market Sale,1572.61,-299,2018-05-15
2823,AMZN.O,Zapolsky David,Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1569.86,-200,2018-05-15
2824,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1568.64,-100,2018-05-15
2825,AMZN.O,Brown (John Seely),,-20,Open market or private sale of non-derivative or derivative security,Open Market Sale,1567.45,-20,2018-05-15
2826,AMZN.O,Brown (John Seely),Director,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1566.24,-100,2018-05-15
2827,AMZN.O,Reynolds (Shelley L),,661,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,661,2018-05-15
2828,AMZN.O,Reynolds (Shelley L),,1367,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1367,2018-05-15
2829,AMZN.O,Reynolds (Shelley L),Officer,-130,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-130,2018-05-15
2830,AMZN.O,Reynolds (Shelley L),Officer,-1117,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1117,2018-05-15
2831,AMZN.O,Reynolds (Shelley L),Officer,-781,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-781,2018-05-15
2832,AMZN.O,Reynolds (Shelley L),Officer,-2028,Open market or private sale of non-derivative or derivative security,Open Market Sale,1587.5,-2028,2018-05-15
2833,AMZN.O,Reynolds (Shelley L),Officer,130,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,130,2018-05-15
2834,AMZN.O,Reynolds (Shelley L),Officer,1117,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1117,2018-05-15
2835,AMZN.O,Reynolds (Shelley L),Officer,781,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,781,2018-05-15
2836,AMZN.O,Poster Wall Trust 2010,Trustee,,,,,,2018-05-07
2837,AMZN.O,Alto Transition Trust of 2010,Trustee,,,,,,2018-05-07
2838,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,1576.25,-100,2018-05-04
2839,AMZN.O,Wilke (Jeffrey A),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,1579.88,-200,2018-05-04
2840,AMZN.O,Wilke (Jeffrey A),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,1581.17,-300,2018-05-04
2841,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2092,Bona fide gift,Gift,0.0,-2092,2018-05-02
2842,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2018-05-02
2843,AMZN.O,Stonesifer (Patricia Q),Director,-1375,Open market or private sale of non-derivative or derivative security,Open Market Sale,1580.98,-1375,2018-05-02
2844,AMZN.O,Stonesifer (Patricia Q),Director,-250,Bona fide gift,Gift,0.0,-250,2018-05-01
2845,AMZN.O,Reynolds (Shelley L),,802,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,802,2018-04-02
2846,AMZN.O,Reynolds (Shelley L),,802,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,802,2018-04-02
2847,AMZN.O,Reynolds (Shelley L),,801,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,801,2018-04-02
2848,AMZN.O,Reynolds (Shelley L),,801,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,801,2018-04-02
2849,AMZN.O,Reynolds (Shelley L),,1040,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1040,2018-04-02
2850,AMZN.O,Reynolds (Shelley L),,1039,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1039,2018-04-02
2851,AMZN.O,Reynolds (Shelley L),,1039,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1039,2018-04-02
2852,AMZN.O,Olsavsky (Brian T.),,1039,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1039,2018-04-02
2853,AMZN.O,Olsavsky (Brian T.),,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2854,AMZN.O,Olsavsky (Brian T.),,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2855,AMZN.O,Olsavsky (Brian T.),,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2856,AMZN.O,Olsavsky (Brian T.),,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2857,AMZN.O,Olsavsky (Brian T.),,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2858,AMZN.O,Olsavsky (Brian T.),,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2859,AMZN.O,Zapolsky David,,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2860,AMZN.O,Zapolsky David,,1006,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1006,2018-04-02
2861,AMZN.O,Zapolsky David,,1006,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1006,2018-04-02
2862,AMZN.O,Zapolsky David,,1006,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1006,2018-04-02
2863,AMZN.O,Zapolsky David,,1250,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1250,2018-04-02
2864,AMZN.O,Zapolsky David,,1005,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,1005,2018-04-02
2865,AMZN.O,Zapolsky David,,89,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,89,2018-04-02
2866,AMZN.O,Jassy (Andrew R),,89,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,89,2018-04-02
