,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
8639,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-11-12
8640,AMZN.O,Bezos (Jeffrey P),Beneficial Owner of More than 10% Class,,,,,,2003-11-10
8641,AMZN.O,Bezos (Jeffrey P),Beneficial Owner of More than 10% Class,,,,,,2003-11-10
8642,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,54.62,-100000,2003-11-07
8643,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,55.38,-100000,2003-11-06
8644,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,56.33,-100000,2003-11-05
8645,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,56.78,-100000,2003-11-04
8646,AMZN.O,Alberg (Thomas Austin),Director,-7070,Open market or private sale of non-derivative or derivative security,Open Market Sale,56.6,-7070,2003-11-04
8647,AMZN.O,Alberg (Thomas Austin),Director,-7070,Open market or private sale of non-derivative or derivative security,Open Market Sale,56.6,-7070,2003-11-04
8648,AMZN.O,Kilar (Jason),Affiliated Person,-882,Bona fide gift,Gift,0.0,-882,2003-11-03
8649,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,55.67,-100000,2003-11-03
8650,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",,,,,,2003-11-03
8651,AMZN.O,Kilar (Jason),,-15000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-15000,2003-10-29
8652,AMZN.O,Kilar (Jason),Officer,-15000,Open market or private sale of non-derivative or derivative security,Open Market Sale,56.59,-15000,2003-10-29
8653,AMZN.O,Kilar (Jason),Officer,15000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,15000,2003-10-29
8654,AMZN.O,Kilar (Jason),Officer,-7350,Open market or private sale of non-derivative or derivative security,Open Market Sale,56.53,-7350,2003-10-29
8655,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2823,Bona fide gift,Gift,0.0,-2823,2003-10-28
8656,AMZN.O,Kilar (Jason),Officer,,,,,,2003-10-06
8657,AMZN.O,Kilar (Jason),,-10000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-10000,2003-10-01
8658,AMZN.O,Kilar (Jason),Officer,-2650,Open market or private sale of non-derivative or derivative security,Open Market Sale,48.42,-2650,2003-10-01
8659,AMZN.O,Kilar (Jason),Officer,10000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,10000,2003-10-01
8660,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-09-29
8661,AMZN.O,Stonesifer (Patricia Q),,-20000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-20000,2003-09-22
8662,AMZN.O,Stonesifer (Patricia Q),Director,-30000,Open market or private sale of non-derivative or derivative security,Open Market Sale,46.51,-30000,2003-09-22
8663,AMZN.O,Stonesifer (Patricia Q),Director,-20000,Open market or private sale of non-derivative or derivative security,Open Market Sale,46.51,-20000,2003-09-22
8664,AMZN.O,Stonesifer (Patricia Q),Director,20000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.22,20000,2003-09-22
8665,AMZN.O,Peek (Mark S),Officer,,,,,,2003-09-05
8666,AMZN.O,Wilson Lynn Michelle,Officer,,,,,,2003-09-04
8667,AMZN.O,Piacentini (Diego),Officer,,,,,,2003-09-04
8668,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-09-04
8669,AMZN.O,Peek (Mark S),Officer,,,,,,2003-09-04
8670,AMZN.O,Wilke (Jeffrey A),Affiliated Person,,,,,,2003-09-04
8671,AMZN.O,Wilke (Jeffrey A),Affiliated Person,,,,,,2003-09-04
8672,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-09-04
8673,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-09-04
8674,AMZN.O,Peek (Mark S),,-7500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-7500,2003-08-29
8675,AMZN.O,Peek (Mark S),Officer,-7500,Open market or private sale of non-derivative or derivative security,Open Market Sale,46.09,-7500,2003-08-29
8676,AMZN.O,Peek (Mark S),Officer,7500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,7500,2003-08-29
8677,AMZN.O,Alberg (Thomas Austin),Director,-20000,Open market or private sale of non-derivative or derivative security,Open Market Sale,45.68,-20000,2003-08-26
8678,AMZN.O,Alberg (Thomas Austin),Director,-20000,Open market or private sale of non-derivative or derivative security,Open Market Sale,45.68,-20000,2003-08-26
8679,AMZN.O,Stonesifer (Patricia Q),Director,-50000,Open market or private sale of non-derivative or derivative security,Open Market Sale,44.71,-50000,2003-08-25
8680,AMZN.O,Dalzell (Richard L),,-75000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-75000,2003-08-22
8681,AMZN.O,Dalzell (Richard L),Officer,-75000,Open market or private sale of non-derivative or derivative security,Open Market Sale,45.94,-75000,2003-08-22
8682,AMZN.O,Dalzell (Richard L),Officer,75000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",8.55,75000,2003-08-22
8683,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-50000,Open market or private sale of non-derivative or derivative security,Open Market Sale,44.67,-50000,2003-08-21
8684,AMZN.O,Peek (Mark S),,-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,43.6,-100000,2003-08-20
8685,AMZN.O,Peek (Mark S),Officer,-10667,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-10667,2003-08-20
8686,AMZN.O,Peek (Mark S),Officer,-10667,Open market or private sale of non-derivative or derivative security,Open Market Sale,43.42,-10667,2003-08-20
8687,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",10667,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",13.38,10667,2003-08-20
8688,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,43.46,-100000,2003-08-19
8689,AMZN.O,Gordon (William Bingham),Director,20000,Open market or private purchase of non-derivative or derivative security,Open Market Purchase,43.05,20000,2003-08-19
8690,AMZN.O,Dalzell (Richard L),,-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,41.77,-100000,2003-08-18
8691,AMZN.O,Dalzell (Richard L),Officer,-137500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-137500,2003-08-18
8692,AMZN.O,Dalzell (Richard L),Officer,-137500,Open market or private sale of non-derivative or derivative security,Open Market Sale,42.5,-137500,2003-08-18
8693,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",137500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",8.55,137500,2003-08-18
8694,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1300,Bona fide gift,Gift,0.0,-1300,2003-08-15
8695,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,40.16,-100000,2003-08-15
8696,AMZN.O,Wilson Lynn Michelle,,-56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-56252,2003-08-14
8697,AMZN.O,Piacentini (Diego),,-56252,Open market or private sale of non-derivative or derivative security,Open Market Sale,39.9,-56252,2003-08-14
8698,AMZN.O,Wilke (Jeffrey A),,56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,56252,2003-08-14
8699,AMZN.O,Wilson Lynn Michelle,Officer,-37502,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-37502,2003-08-14
8700,AMZN.O,Wilson Lynn Michelle,Officer,-37502,Open market or private sale of non-derivative or derivative security,Open Market Sale,39.9,-37502,2003-08-14
8701,AMZN.O,Piacentini (Diego),Officer,37502,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,37502,2003-08-14
8702,AMZN.O,Piacentini (Diego),Officer,-56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-56252,2003-08-14
8703,AMZN.O,Wilke (Jeffrey A),Officer,-56252,Open market or private sale of non-derivative or derivative security,Open Market Sale,39.9,-56252,2003-08-14
8704,AMZN.O,Wilke (Jeffrey A),Officer,56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,56252,2003-08-14
8705,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,38.99,-100000,2003-08-07
8706,AMZN.O,Bezos (Jeffrey P),Director and Beneficial Owner of More Than 10% of a Class,,,,,,2003-08-06
8707,AMZN.O,Bezos (Jeffrey P),Director and Beneficial Owner of More Than 10% of a Class,,,,,,2003-08-06
8708,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,38.87,-100000,2003-08-06
8709,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,39.28,-100000,2003-08-05
8710,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,39.49,-100000,2003-08-04
8711,AMZN.O,Dalzell (Richard L),,-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,40.61,-100000,2003-08-01
8712,AMZN.O,Kilar (Jason),Officer,-137500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-137500,2003-08-01
8713,AMZN.O,Dalzell (Richard L),Officer,-137500,Open market or private sale of non-derivative or derivative security,Open Market Sale,41.04,-137500,2003-08-01
